BookID,Title,Author,YearPublished,Genre,Price,CopiesAvailable,Rating
1,The Great Gatsby,Leo Tolstoy,1968,Adventure,461,20,8.8
2,Ulysses,J.D. Salinger,1999,Biography,552,17,4.7
3,The Great Gatsby,Leo Tolstoy,2015,Fiction,644,14,3.3
4,Ulysses,Leo Tolstoy,1976,Science Fiction,287,2,7.2
5,The Catcher in the Rye,Herman Melville,2021,Adventure,872,11,0.8
6,The Catcher in the Rye,James Joyce,1996,Romance,128,8,8.1
7,The Great Gatsby,Herman Melville,2017,Fiction,681,10,7.5
8,The Great Gatsby,James Joyce,1936,Mystery,514,2,5.2
9,To Kill a Mockingbird,James Joyce,1992,Fiction,785,4,0.9
10,Moby Dick,George Orwell,1950,Adventure,950,10,5
11,To Kill a Mockingbird,James Joyce,1994,Fiction,450,15,0.2
12,Pride and Prejudice,Harper Lee,1927,Fantasy,665,20,0.8
13,War and Peace,Harper Lee,1901,Horror,356,19,8.2
14,The Catcher in the Rye,Harper Lee,1922,Classic,818,17,5.8
15,1984,Jane Austen,1955,Biography,244,12,8.3
16,The Odyssey,J.D. Salinger,1949,Drama,771,1,9.8
17,1984,J.D. Salinger,1926,Drama,409,2,1.2
18,War and Peace,Homer,1936,Science Fiction,983,14,1.2
19,Jane Eyre,J.D. Salinger,1969,Drama,260,6,9.1
20,Pride and Prejudice,F. Scott Fitzgerald,1953,Horror,529,2,9.1
21,Ulysses,Charlotte Bronte,1975,Fiction,208,6,2.4
22,Jane Eyre,James Joyce,1904,Fiction,761,19,8.5
23,War and Peace,F. Scott Fitzgerald,2003,Horror,769,17,2.6
24,Pride and Prejudice,Jane Austen,1917,Romance,622,13,8.3
25,To Kill a Mockingbird,Leo Tolstoy,1992,Biography,990,16,7.3
26,War and Peace,Leo Tolstoy,1997,Romance,961,12,6.1
27,War and Peace,James Joyce,1991,Adventure,456,18,3.1
28,The Catcher in the Rye,J.D. Salinger,2009,Drama,413,3,2.1
29,Ulysses,George Orwell,1954,Fiction,409,8,4.3
30,The Odyssey,James Joyce,1908,Classic,526,7,1.2
31,Pride and Prejudice,Herman Melville,1930,Classic,302,8,7.8
32,Jane Eyre,Herman Melville,1944,Adventure,944,5,6.3
33,Ulysses,Herman Melville,2021,Horror,169,17,8
34,Moby Dick,Leo Tolstoy,2002,Romance,602,18,1.6
35,War and Peace,Herman Melville,1982,Adventure,844,11,6.7
36,War and Peace,Homer,2017,Romance,519,10,2.9
37,War and Peace,Charlotte Bronte,2010,Fantasy,326,19,6.1
38,Jane Eyre,J.D. Salinger,2014,Biography,440,16,2.7
39,The Odyssey,Charlotte Bronte,1952,Biography,390,20,9.4
40,To Kill a Mockingbird,George Orwell,2010,Drama,688,8,2.2
41,Pride and Prejudice,Leo Tolstoy,1932,Fiction,971,13,8.9
42,The Odyssey,F. Scott Fitzgerald,1918,Classic,192,13,1.1
43,Ulysses,George Orwell,1936,Biography,936,2,5.6
44,The Catcher in the Rye,F. Scott Fitzgerald,2010,Adventure,370,10,6.3
45,1984,Leo Tolstoy,1967,Classic,953,11,2.7
46,To Kill a Mockingbird,Jane Austen,2002,Science Fiction,748,9,8.8
47,The Great Gatsby,Homer,1950,Fiction,617,18,2
48,Moby Dick,Leo Tolstoy,1909,Mystery,867,14,5.2
49,1984,Homer,1987,Fantasy,730,18,0.5
50,Pride and Prejudice,F. Scott Fitzgerald,1910,Romance,216,3,1.4
51,The Odyssey,Homer,2023,Romance,600,2,2.5
52,War and Peace,Harper Lee,1909,Science Fiction,786,20,2.8
53,The Great Gatsby,George Orwell,2023,Romance,823,1,0.3
54,The Great Gatsby,Harper Lee,1943,Fantasy,291,16,3.9
55,Ulysses,Homer,2007,Horror,465,6,3.9
56,War and Peace,George Orwell,1948,Mystery,961,2,6.4
57,The Great Gatsby,Leo Tolstoy,1905,Mystery,861,4,6.5
58,The Catcher in the Rye,George Orwell,1901,Adventure,658,14,0.2
59,Pride and Prejudice,F. Scott Fitzgerald,1947,Romance,528,3,6.8
60,The Catcher in the Rye,J.D. Salinger,1911,Horror,492,17,9.1
61,Jane Eyre,Charlotte Bronte,1926,Horror,283,2,7.7
62,The Catcher in the Rye,Herman Melville,1918,Mystery,354,19,4.1
63,Moby Dick,J.D. Salinger,1913,Horror,862,6,4.1
64,1984,Homer,1928,Mystery,613,16,1.1
65,Jane Eyre,Herman Melville,2022,Adventure,893,4,1.3
66,The Odyssey,James Joyce,1983,Fiction,378,18,4.4
67,Moby Dick,Charlotte Bronte,1911,Fiction,869,12,6.4
68,The Great Gatsby,Leo Tolstoy,1965,Romance,261,11,0.7
69,To Kill a Mockingbird,George Orwell,1956,Biography,946,19,9.6
70,To Kill a Mockingbird,Herman Melville,1929,Biography,158,1,7.9
71,Moby Dick,Herman Melville,1974,Fiction,381,1,6
72,1984,J.D. Salinger,1964,Romance,717,6,4.4
73,Moby Dick,Harper Lee,1907,Romance,218,6,3.5
74,Jane Eyre,Herman Melville,1970,Classic,339,19,0.2
75,War and Peace,Leo Tolstoy,2017,Adventure,747,18,9.5
76,Jane Eyre,Harper Lee,1986,Biography,790,3,9.4
77,The Odyssey,George Orwell,2007,Mystery,617,1,4.5
78,To Kill a Mockingbird,Homer,1972,Fiction,457,15,1.4
79,Pride and Prejudice,Charlotte Bronte,2017,Mystery,529,20,0.7
80,Ulysses,F. Scott Fitzgerald,1930,Science Fiction,838,17,10
81,Ulysses,F. Scott Fitzgerald,1944,Classic,550,20,3
82,The Great Gatsby,Leo Tolstoy,1952,Science Fiction,557,2,9.8
83,Pride and Prejudice,Charlotte Bronte,1991,Biography,674,9,8.3
84,Moby Dick,F. Scott Fitzgerald,1991,Classic,480,7,8.2
85,Pride and Prejudice,Harper Lee,1942,Horror,267,16,6.9
86,Ulysses,Charlotte Bronte,1926,Classic,912,6,4.7
87,To Kill a Mockingbird,George Orwell,1946,Drama,650,20,9.2
88,To Kill a Mockingbird,Homer,1952,Classic,471,8,1.3
89,The Catcher in the Rye,Harper Lee,1939,Classic,123,15,7.5
90,The Great Gatsby,Harper Lee,1970,Fantasy,415,7,1.7
91,To Kill a Mockingbird,Charlotte Bronte,1931,Science Fiction,157,16,4.7
92,1984,Harper Lee,1953,Science Fiction,268,7,3.9
93,1984,James Joyce,1918,Drama,704,2,4.1
94,1984,George Orwell,1905,Adventure,646,6,0.3
95,Pride and Prejudice,Charlotte Bronte,1972,Biography,119,17,4.9
96,The Catcher in the Rye,Herman Melville,1954,Fiction,155,17,6.1
97,1984,F. Scott Fitzgerald,2004,Classic,263,7,7.7
98,Ulysses,Jane Austen,2005,Science Fiction,306,6,6
99,Jane Eyre,James Joyce,1909,Classic,290,20,5.7
100,1984,Herman Melville,1984,Fantasy,494,9,5
101,War and Peace,Homer,1969,Horror,862,19,5.1
102,To Kill a Mockingbird,F. Scott Fitzgerald,1944,Fantasy,159,6,1.4
103,The Catcher in the Rye,Jane Austen,2004,Horror,591,11,2.1
104,1984,Charlotte Bronte,2022,Drama,676,17,0.6
105,Jane Eyre,Leo Tolstoy,2019,Romance,1000,14,9.9
106,The Great Gatsby,Homer,1922,Drama,981,1,9.8
107,The Odyssey,Jane Austen,1980,Biography,448,11,4.7
108,1984,Herman Melville,1935,Mystery,272,3,0.2
109,Pride and Prejudice,J.D. Salinger,1919,Biography,762,13,5.6
110,Moby Dick,Jane Austen,1960,Classic,300,16,9.7
111,The Catcher in the Rye,Homer,1932,Science Fiction,346,5,4.2
112,1984,Leo Tolstoy,1910,Biography,806,2,2.6
113,War and Peace,F. Scott Fitzgerald,1955,Classic,796,16,1.2
114,Moby Dick,Jane Austen,1974,Romance,815,18,3.5
115,The Odyssey,Herman Melville,1990,Mystery,724,7,3.3
116,War and Peace,Harper Lee,1984,Mystery,551,14,8.8
117,Jane Eyre,F. Scott Fitzgerald,1990,Fantasy,215,8,9.8
118,Jane Eyre,J.D. Salinger,1929,Fiction,477,20,6.6
119,The Catcher in the Rye,George Orwell,1917,Romance,472,1,1
120,Ulysses,Harper Lee,1953,Horror,476,1,1.8
121,1984,James Joyce,2010,Drama,776,13,4
122,War and Peace,Leo Tolstoy,1982,Fiction,412,15,4
123,The Great Gatsby,Jane Austen,1997,Fiction,510,15,4.7
124,Moby Dick,Herman Melville,1985,Fantasy,726,12,7.9
125,Ulysses,J.D. Salinger,1985,Romance,161,20,1.3
126,Pride and Prejudice,James Joyce,2003,Science Fiction,463,19,2
127,Jane Eyre,George Orwell,1943,Biography,335,19,9.7
128,Pride and Prejudice,George Orwell,1962,Fiction,206,4,8.5
129,The Great Gatsby,Charlotte Bronte,1966,Horror,465,16,9.7
130,Pride and Prejudice,Homer,1918,Horror,380,4,3.4
131,Moby Dick,Homer,1983,Science Fiction,687,14,8.2
132,Jane Eyre,George Orwell,2013,Mystery,460,1,2.2
133,Ulysses,George Orwell,1959,Drama,128,12,0.8
134,To Kill a Mockingbird,J.D. Salinger,1936,Adventure,533,7,0.2
135,To Kill a Mockingbird,J.D. Salinger,1980,Fantasy,520,15,1.6
136,Jane Eyre,J.D. Salinger,1991,Biography,103,3,10
137,1984,Herman Melville,2014,Classic,672,9,3.7
138,War and Peace,Harper Lee,2019,Fantasy,185,18,5.5
139,Ulysses,George Orwell,2022,Horror,477,1,4.9
140,The Odyssey,Charlotte Bronte,1941,Mystery,873,11,4.6
141,Jane Eyre,Herman Melville,1969,Fantasy,223,3,6
142,Ulysses,Jane Austen,2014,Horror,747,16,9.6
143,The Great Gatsby,J.D. Salinger,2020,Romance,809,3,4.9
144,The Catcher in the Rye,James Joyce,1902,Biography,455,10,5.3
145,The Catcher in the Rye,Leo Tolstoy,2001,Horror,312,4,0.9
146,War and Peace,Leo Tolstoy,1921,Fiction,179,20,3.4
147,1984,Herman Melville,1931,Romance,298,20,1.8
148,The Odyssey,Herman Melville,1926,Fantasy,575,15,0.3
149,Jane Eyre,Herman Melville,1940,Fiction,333,19,1.4
150,Ulysses,Harper Lee,1999,Mystery,749,3,7.8
151,Pride and Prejudice,James Joyce,1927,Science Fiction,593,15,8
152,Moby Dick,J.D. Salinger,1969,Science Fiction,293,15,3.9
153,Moby Dick,Leo Tolstoy,2018,Science Fiction,369,3,6.2
154,War and Peace,George Orwell,2004,Mystery,543,3,1.3
155,The Catcher in the Rye,F. Scott Fitzgerald,1914,Drama,162,2,9.3
156,The Catcher in the Rye,Homer,1950,Science Fiction,918,11,0.9
157,The Catcher in the Rye,J.D. Salinger,1961,Classic,868,9,5.1
158,1984,Jane Austen,1942,Mystery,215,6,8.7
159,The Odyssey,Charlotte Bronte,1982,Drama,964,14,4.2
160,The Catcher in the Rye,Jane Austen,1923,Drama,302,10,5.4
161,Pride and Prejudice,James Joyce,1998,Fiction,843,11,9.8
162,1984,James Joyce,1997,Horror,549,20,2.1
163,Jane Eyre,Herman Melville,2020,Mystery,239,7,8.6
164,War and Peace,Harper Lee,1958,Fantasy,164,9,0.7
165,1984,Homer,2005,Classic,722,13,0.1
166,Moby Dick,Leo Tolstoy,1981,Drama,683,9,0.9
167,The Odyssey,Herman Melville,1921,Horror,186,17,7.7
168,To Kill a Mockingbird,Homer,1977,Classic,560,18,5.4
169,The Catcher in the Rye,Charlotte Bronte,1911,Biography,151,15,3.3
170,The Great Gatsby,Jane Austen,1932,Horror,904,11,7.4
171,To Kill a Mockingbird,Homer,1920,Horror,343,12,4.5
172,Moby Dick,Jane Austen,1931,Biography,536,13,6.5
173,War and Peace,Homer,2005,Fantasy,423,20,0.5
174,Pride and Prejudice,Harper Lee,1995,Adventure,918,2,6.3
175,To Kill a Mockingbird,Charlotte Bronte,1980,Adventure,799,12,8.1
176,The Catcher in the Rye,Charlotte Bronte,2010,Drama,401,15,7.5
177,Ulysses,Harper Lee,1907,Fantasy,604,14,4.3
178,To Kill a Mockingbird,George Orwell,2009,Adventure,257,8,5.3
179,The Great Gatsby,F. Scott Fitzgerald,1964,Horror,383,15,1.9
180,Ulysses,Herman Melville,2002,Drama,992,17,3.9
181,Jane Eyre,Homer,1965,Classic,740,4,9.3
182,Jane Eyre,Homer,1996,Fantasy,573,10,0.2
183,Ulysses,Leo Tolstoy,1979,Horror,810,19,1.2
184,The Odyssey,Harper Lee,2016,Biography,839,20,3.9
185,Moby Dick,Leo Tolstoy,1918,Romance,816,20,1
186,The Odyssey,Jane Austen,1940,Drama,179,15,2.8
187,Pride and Prejudice,Harper Lee,1945,Drama,594,6,4.8
188,Jane Eyre,Homer,1920,Biography,521,2,8.2
189,The Odyssey,James Joyce,1958,Romance,327,8,9.4
190,1984,Homer,1979,Classic,432,17,8.1
191,Moby Dick,Charlotte Bronte,1991,Classic,173,8,9.5
192,1984,Homer,1910,Science Fiction,675,1,1.3
193,Pride and Prejudice,Leo Tolstoy,1924,Horror,226,14,0.2
194,Ulysses,Charlotte Bronte,1950,Science Fiction,377,18,4.6
195,To Kill a Mockingbird,Harper Lee,1984,Classic,275,3,2.1
196,Ulysses,F. Scott Fitzgerald,1961,Mystery,148,6,4
197,Moby Dick,James Joyce,1947,Science Fiction,811,18,4.5
198,The Odyssey,Leo Tolstoy,1936,Drama,368,20,3.1
199,The Odyssey,Jane Austen,1975,Adventure,402,5,6.2
200,Ulysses,George Orwell,1902,Fiction,517,5,9.9
201,Ulysses,Jane Austen,1995,Biography,977,13,0.7
202,Pride and Prejudice,Jane Austen,2012,Romance,303,7,9.8
203,To Kill a Mockingbird,George Orwell,1952,Drama,232,3,1.8
204,Moby Dick,Jane Austen,1978,Fantasy,911,14,9
205,War and Peace,James Joyce,1921,Romance,109,11,9.2
206,To Kill a Mockingbird,Leo Tolstoy,1931,Drama,141,6,1.1
207,War and Peace,Leo Tolstoy,2024,Drama,234,17,7.8
208,Jane Eyre,James Joyce,2008,Romance,729,19,8.2
209,The Great Gatsby,Leo Tolstoy,1979,Fiction,431,10,0.4
210,Pride and Prejudice,J.D. Salinger,1951,Fiction,566,5,2.7
211,War and Peace,Herman Melville,1905,Fantasy,939,14,5.9
212,To Kill a Mockingbird,F. Scott Fitzgerald,1972,Science Fiction,404,4,5.6
213,The Odyssey,Leo Tolstoy,1982,Biography,115,16,2.3
214,Jane Eyre,James Joyce,1932,Horror,712,10,7.5
215,Moby Dick,James Joyce,1912,Biography,395,12,3.8
216,The Great Gatsby,Harper Lee,1958,Romance,126,18,2
217,War and Peace,Jane Austen,2007,Fantasy,813,4,2
218,1984,James Joyce,1977,Biography,348,2,1.6
219,1984,Harper Lee,1997,Biography,225,11,8.5
220,1984,J.D. Salinger,1934,Fantasy,314,4,0.1
221,Jane Eyre,Homer,1920,Mystery,429,5,6.6
222,War and Peace,Jane Austen,1933,Classic,714,18,1.6
223,To Kill a Mockingbird,Leo Tolstoy,2011,Biography,436,18,8.9
224,1984,F. Scott Fitzgerald,1991,Science Fiction,689,11,4.3
225,Ulysses,Charlotte Bronte,1999,Fiction,907,3,3.1
226,Jane Eyre,Leo Tolstoy,1943,Drama,236,17,1.9
227,1984,Herman Melville,1918,Horror,287,14,4.8
228,The Odyssey,Charlotte Bronte,1936,Drama,914,9,1
229,1984,J.D. Salinger,2011,Horror,580,20,3.6
230,1984,Jane Austen,1985,Adventure,219,11,2.2
231,The Odyssey,F. Scott Fitzgerald,1977,Horror,128,15,4.4
232,The Odyssey,James Joyce,1968,Mystery,136,20,0.4
233,Pride and Prejudice,George Orwell,1965,Fantasy,706,2,7.6
234,Ulysses,Jane Austen,1911,Science Fiction,430,11,8.3
235,War and Peace,Homer,2014,Romance,301,15,9.3
236,1984,George Orwell,2000,Fiction,673,11,0.2
237,The Odyssey,Herman Melville,1997,Fiction,619,13,3.1
238,The Great Gatsby,Herman Melville,1931,Fiction,567,10,8.3
239,The Great Gatsby,James Joyce,1917,Drama,541,9,3.5
240,Jane Eyre,James Joyce,2007,Fiction,181,4,4.3
241,The Great Gatsby,J.D. Salinger,1918,Romance,879,18,7.8
242,Jane Eyre,J.D. Salinger,1961,Science Fiction,906,8,6.8
243,Moby Dick,Herman Melville,1968,Mystery,899,19,7.1
244,Moby Dick,Charlotte Bronte,1992,Fiction,884,4,0.6
245,Pride and Prejudice,Harper Lee,2008,Drama,294,9,7.7
246,Ulysses,Homer,1985,Fiction,341,11,0.3
247,Moby Dick,F. Scott Fitzgerald,1991,Mystery,790,16,5.1
248,To Kill a Mockingbird,F. Scott Fitzgerald,1925,Romance,703,20,1.6
249,The Catcher in the Rye,James Joyce,1956,Drama,150,8,2.5
250,Ulysses,George Orwell,1984,Horror,419,9,2.1
251,War and Peace,Homer,2003,Science Fiction,616,16,8
252,Ulysses,J.D. Salinger,1912,Drama,375,17,9.6
253,1984,Harper Lee,1927,Biography,155,13,7
254,The Great Gatsby,Herman Melville,1900,Biography,117,5,3.1
255,The Great Gatsby,Herman Melville,1975,Adventure,666,19,1.9
256,1984,Leo Tolstoy,1960,Horror,739,6,5.7
257,The Odyssey,J.D. Salinger,1959,Biography,158,10,7.2
258,Moby Dick,Harper Lee,2021,Science Fiction,589,9,9.1
259,Pride and Prejudice,Homer,1942,Mystery,783,12,0.3
260,Jane Eyre,Homer,1907,Biography,794,8,2.9
261,The Great Gatsby,F. Scott Fitzgerald,1969,Romance,576,10,2.1
262,Pride and Prejudice,Charlotte Bronte,1983,Science Fiction,987,19,10
263,To Kill a Mockingbird,F. Scott Fitzgerald,1962,Drama,495,18,9.8
264,The Catcher in the Rye,Herman Melville,1982,Fiction,275,14,4.1
265,Pride and Prejudice,Homer,1932,Classic,224,6,2.2
266,War and Peace,F. Scott Fitzgerald,1978,Romance,913,3,3
267,1984,James Joyce,1971,Fantasy,341,1,0.1
268,The Great Gatsby,Harper Lee,1936,Drama,164,14,3.7
269,To Kill a Mockingbird,F. Scott Fitzgerald,1934,Biography,377,20,5.5
270,To Kill a Mockingbird,James Joyce,2005,Fiction,954,19,4.7
271,Pride and Prejudice,Charlotte Bronte,1920,Horror,487,18,4.1
272,The Great Gatsby,George Orwell,2004,Fantasy,471,4,8.9
273,Pride and Prejudice,Homer,1963,Classic,716,8,8.8
274,To Kill a Mockingbird,Herman Melville,1965,Mystery,224,12,6.9
275,War and Peace,J.D. Salinger,1910,Classic,967,19,5.9
276,1984,James Joyce,1938,Biography,862,9,5.6
277,Ulysses,Jane Austen,1981,Science Fiction,532,10,0.9
278,Ulysses,James Joyce,1935,Romance,317,8,4.9
279,War and Peace,Leo Tolstoy,1963,Science Fiction,114,5,9.9
280,Jane Eyre,Homer,1915,Biography,175,10,6.8
281,Ulysses,Homer,1977,Horror,138,7,5.5
282,Ulysses,Harper Lee,2005,Mystery,944,16,0.3
283,Moby Dick,Homer,1939,Classic,930,15,5.2
284,The Great Gatsby,F. Scott Fitzgerald,1920,Romance,746,17,0.9
285,The Odyssey,Charlotte Bronte,1963,Romance,979,15,6.4
286,To Kill a Mockingbird,Harper Lee,1947,Romance,611,15,2.6
287,Pride and Prejudice,George Orwell,2008,Horror,382,1,0.2
288,Moby Dick,Jane Austen,2001,Classic,116,20,7.8
289,Pride and Prejudice,Leo Tolstoy,1956,Biography,284,13,7.6
290,The Great Gatsby,George Orwell,1958,Fantasy,573,11,2.6
291,The Odyssey,Charlotte Bronte,1913,Drama,767,20,5.7
292,To Kill a Mockingbird,Herman Melville,1993,Mystery,455,9,5.7
